Silver Futures Historical Data
Date,Price,Open,High,Low,Vol.,Change %,Candle %
"Jul 08, 2012",27.344,27.125,27.5,26.445,0.95K,1.69%,0.801%
"Jul 01, 2012",26.889,27.44,28.37,26.885,1.32K,-2.51%,-2.049%
"Jun 24, 2012",27.58,26.68,27.84,26.07,25.97K,3.46%,3.263%
"Jun 17, 2012",26.657,28.445,28.77,26.65,0.20K,-7.23%,-6.707%
"Jun 10, 2012",28.734,28.62,29.055,28.17,0.04K,0.96%,0.397%
"Jun 03, 2012",28.461,28.38,29.245,27.94,0.07K,-0.13%,0.285%
"May 27, 2012",28.497,28.225,28.515,27.26,0.29K,0.45%,0.954%
"May 20, 2012",28.37,28.35,28.705,27.3,0.17K,-1.13%,0.070%
"May 13, 2012",28.694,28.25,28.71,26.895,0.23K,-0.57%,1.547%
"May 06, 2012",28.858,30.15,30.15,28.485,0.28K,-5.01%,-4.477%
"Apr 29, 2012",30.38,31.26,31.38,29.88,3.75K,-3.08%,-2.897%
"Apr 22, 2012",31.347,31.56,31.61,30.625,22.09K,-0.94%,-0.679%
"Apr 15, 2012",31.644,31.545,31.725,31.465,0.12K,0.84%,0.313%
"Apr 08, 2012",31.38,31.76,32.385,31.59,0.16K,-1.06%,-1.211%
"Apr 01, 2012",31.716,33.105,33.105,31.285,0.03K,-2.32%,-4.379%
"Mar 25, 2012",32.469,32.14,32.99,31.645,0.21K,0.69%,1.013%
"Mar 18, 2012",32.248,32.65,32.99,31.19,0.28K,-1.00%,-1.247%
"Mar 11, 2012",32.573,33.94,33.965,31.62,0.42K,-4.69%,-4.197%
"Mar 04, 2012",34.175,34.785,34.785,32.455,1.68K,-0.89%,-1.785%
"Feb 26, 2012",34.481,35.38,37.48,33.75,32.17K,-2.41%,-2.607%
"Feb 19, 2012",35.332,33.52,35.59,33.52,0.16K,6.42%,5.128%
"Feb 12, 2012",33.2,33.63,33.85,32.7,0.38K,-1.12%,-1.295%
"Feb 05, 2012",33.576,33.5,34.4,33.25,0.28K,-0.44%,0.226%
"Jan 29, 2012",33.725,33.265,34.335,32.99,0.54K,-0.07%,1.364%
"Jan 22, 2012",33.747,32.55,33.75,31.68,0.24K,6.64%,3.547%
"Jan 15, 2012",31.647,30.5,32.035,29.9,0.36K,7.30%,3.624%
"Jan 08, 2012",29.493,28.82,30.64,28.755,0.48K,2.93%,2.282%
"Jan 01, 2012",28.653,28.165,29.63,28.11,0.32K,2.79%,1.703%
"Dec 25, 2011",27.875,28.97,28.97,26.385,0.37K,-4.03%,-3.928%
"Dec 18, 2011",29.046,29.6,29.975,28.68,0.23K,-1.92%,-1.907%
"Dec 11, 2011",29.615,31.755,31.755,28.65,0.54K,-7.95%,-7.226%
